#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:42:16', checksum=350676187, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-9.51787,39.10000,1.133308E-01,2.341253E-01,1.175037E-01,2.420752E-01,1.156569E-01,2.384977E-01,2.188555E-01,4.420309E-01,2.284346E-01,4.642984E-01,2.211830E-01,4.515208E-01,2.057882E-01,4.225053E-01,1.898212E-01,3.931593E-01,1.758584E-01,3.678021E-01,1.379305E-01,2.668955E-01,1.203394E-01,2.362441E-01,1.006751E-01,2.022365E-01,7.813863E-02,1.608040E-01
-9.51787,39.20000,1.078204E-01,2.223985E-01,1.121188E-01,2.311919E-01,1.104060E-01,2.272983E-01,2.130151E-01,4.319494E-01,2.235318E-01,4.565039E-01,2.154011E-01,4.411882E-01,1.987859E-01,4.084785E-01,1.824411E-01,3.777868E-01,1.681626E-01,3.510543E-01,1.309394E-01,2.534550E-01,1.142841E-01,2.244686E-01,9.591161E-02,1.911739E-01,7.405490E-02,1.518382E-01
-9.51787,39.30000,1.037024E-01,2.135244E-01,1.081427E-01,2.216783E-01,1.063654E-01,2.180069E-01,2.082990E-01,4.232722E-01,2.193686E-01,4.491381E-01,2.106543E-01,4.322805E-01,1.931947E-01,3.971194E-01,1.765824E-01,3.655362E-01,1.620326E-01,3.376971E-01,1.252981E-01,2.437136E-01,1.093784E-01,2.156944E-01,9.155166E-02,1.823136E-01,7.059439E-02,1.446516E-01
-9.51787,39.40000,1.002546E-01,2.060976E-01,1.044320E-01,2.136627E-01,1.026718E-01,2.101669E-01,2.058769E-01,4.224510E-01,2.175986E-01,4.504224E-01,2.079756E-01,4.297671E-01,1.890776E-01,3.895668E-01,1.717469E-01,3.557128E-01,1.566775E-01,3.261894E-01,1.201717E-01,2.352057E-01,1.048366E-01,2.077373E-01,8.725175E-02,1.741658E-01,6.730935E-02,1.379016E-01
-9.51787,39.50000,9.654589E-02,1.988714E-01,1.003313E-01,2.057583E-01,9.864293E-02,2.024074E-01,2.051929E-01,4.357753E-01,2.177123E-01,4.678379E-01,2.065963E-01,4.377443E-01,1.853248E-01,3.861105E-01,1.666288E-01,3.468081E-01,1.506723E-01,3.143007E-01,1.142016E-01,2.249956E-01,9.955723E-02,1.976433E-01,8.231349E-02,1.644077E-01,6.360816E-02,1.299548E-01
-9.51787,39.60000,9.383637E-02,1.950738E-01,9.727921E-02,2.013936E-01,9.562860E-02,1.980374E-01,2.064483E-01,4.760429E-01,2.196595E-01,5.130765E-01,2.072468E-01,4.671834E-01,1.835818E-01,3.939072E-01,1.631124E-01,3.435560E-01,1.459013E-01,3.059500E-01,1.090577E-01,2.161899E-01,9.488955E-02,1.872845E-01,7.791372E-02,1.555736E-01,6.029990E-02,1.227732E-01
-9.41787,38.20000,1.246815E-01,2.514168E-01,1.292153E-01,2.594827E-01,1.270292E-01,2.552618E-01,2.682528E-01,5.897214E-01,2.820497E-01,6.311862E-01,2.659288E-01,5.761361E-01,2.374774E-01,4.945775E-01,2.112234E-01,4.318769E-01,1.914277E-01,3.907045E-01,1.454082E-01,2.832072E-01,1.267248E-01,2.456110E-01,1.056549E-01,2.063570E-01,8.272411E-02,1.631020E-01
-9.41787,38.30000,1.267619E-01,2.549476E-01,1.317431E-01,2.636980E-01,1.295190E-01,2.594699E-01,2.547860E-01,5.213081E-01,2.653340E-01,5.492294E-01,2.542742E-01,5.228252E-01,2.335508E-01,4.736592E-01,2.121473E-01,4.304399E-01,1.953664E-01,3.987334E-01,1.504994E-01,2.941486E-01,1.320398E-01,2.575505E-01,1.098288E-01,2.170552E-01,8.553944E-02,1.717030E-01
-9.41787,38.40000,1.283441E-01,2.586210E-01,1.336489E-01,2.678229E-01,1.313889E-01,2.635288E-01,2.446561E-01,4.852511E-01,2.526283E-01,5.063835E-01,2.454564E-01,4.941809E-01,2.305493E-01,4.636348E-01,2.128774E-01,4.315197E-01,1.982410E-01,4.056251E-01,1.542109E-01,3.003555E-01,1.361168E-01,2.654337E-01,1.131100E-01,2.243817E-01,8.783322E-02,1.777887E-01
-9.41787,38.50000,1.297196E-01,2.629607E-01,1.352402E-01,2.724766E-01,1.329381E-01,2.680730E-01,2.405020E-01,4.769026E-01,2.467101E-01,4.938781E-01,2.415858E-01,4.858985E-01,2.296379E-01,4.638121E-01,2.138811E-01,4.362328E-01,2.003358E-01,4.130767E-01,1.567199E-01,3.046336E-01,1.387714E-01,2.708207E-01,1.154283E-01,2.294001E-01,8.950970E-02,1.821230E-01
