#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:42:16', checksum=350676187, kind='quantile-0.05', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0)
-9.51787,39.10000,8.845506E-02,9.220644E-02,9.058280E-02,1.787546E-01,1.847875E-01,1.797456E-01,1.654816E-01,1.499439E-01,1.380756E-01,1.088872E-01,9.489450E-02,7.753825E-02,5.892294E-02,1.853690E-01,1.916870E-01,1.885648E-01,3.688274E-01,3.842506E-01,3.748461E-01,3.510512E-01,3.186703E-01,2.941640E-01,2.217824E-01,1.953669E-01,1.621172E-01,1.262776E-01
-9.51787,39.20000,8.668640E-02,8.994565E-02,8.843658E-02,1.697145E-01,1.763806E-01,1.711619E-01,1.599500E-01,1.471590E-01,1.346557E-01,1.057073E-01,9.140483E-02,7.491223E-02,5.700854E-02,1.820651E-01,1.886389E-01,1.856280E-01,3.522937E-01,3.693162E-01,3.586757E-01,3.346161E-01,3.084823E-01,2.881482E-01,2.138549E-01,1.890356E-01,1.580323E-01,1.230833E-01
-9.51787,39.30000,8.294875E-02,8.605655E-02,8.467500E-02,1.641215E-01,1.712165E-01,1.655960E-01,1.532900E-01,1.401812E-01,1.291305E-01,1.016672E-01,8.880864E-02,7.273320E-02,5.499964E-02,1.738948E-01,1.798084E-01,1.770567E-01,3.443082E-01,3.625770E-01,3.503343E-01,3.225024E-01,2.954179E-01,2.741806E-01,2.041401E-01,1.791553E-01,1.509695E-01,1.194547E-01
-9.51787,39.40000,7.945259E-02,8.228111E-02,8.097176E-02,1.612266E-01,1.688424E-01,1.625476E-01,1.485921E-01,1.347294E-01,1.231704E-01,9.662995E-02,8.385833E-02,6.952921E-02,5.337704E-02,1.679316E-01,1.733411E-01,1.707143E-01,3.478670E-01,3.686364E-01,3.517863E-01,3.171956E-01,2.867789E-01,2.635284E-01,1.956299E-01,1.706569E-01,1.436699E-01,1.132325E-01
-9.51787,39.50000,7.485885E-02,7.770950E-02,7.648928E-02,1.564928E-01,1.647253E-01,1.579625E-01,1.426241E-01,1.280979E-01,1.159856E-01,9.001938E-02,7.786757E-02,6.473196E-02,4.941294E-02,1.604732E-01,1.658213E-01,1.633120E-01,3.588560E-01,3.831396E-01,3.582441E-01,3.128743E-01,2.767951E-01,2.504787E-01,1.834356E-01,1.594877E-01,1.337230E-01,1.046843E-01
-9.51787,39.60000,7.074388E-02,7.362425E-02,7.238737E-02,1.516738E-01,1.605891E-01,1.529893E-01,1.369143E-01,1.220999E-01,1.097412E-01,8.438382E-02,7.298706E-02,6.031322E-02,4.614533E-02,1.531474E-01,1.587972E-01,1.561626E-01,3.625631E-01,3.891518E-01,3.589370E-01,3.065752E-01,2.672010E-01,2.389837E-01,1.735792E-01,1.504897E-01,1.251781E-01,9.798279E-02
-9.41787,38.20000,1.043595E-01,1.084882E-01,1.066298E-01,2.204573E-01,2.290101E-01,2.188560E-01,1.998680E-01,1.806527E-01,1.596870E-01,1.210899E-01,1.045960E-01,8.682027E-02,6.761651E-02,2.100878E-01,2.167312E-01,2.128108E-01,4.825533E-01,5.096369E-01,4.775388E-01,4.250265E-01,3.693331E-01,3.238989E-01,2.341933E-01,2.008369E-01,1.646892E-01,1.291239E-01
-9.41787,38.30000,9.896340E-02,1.028414E-01,1.010899E-01,2.135271E-01,2.265511E-01,2.138299E-01,1.906174E-01,1.701657E-01,1.533366E-01,1.183281E-01,1.029655E-01,8.559773E-02,6.655875E-02,1.964621E-01,2.031719E-01,1.997421E-01,4.533727E-01,4.804998E-01,4.492581E-01,3.906448E-01,3.444674E-01,3.081561E-01,2.288803E-01,1.993723E-01,1.647785E-01,1.293405E-01
-9.41787,38.40000,9.538727E-02,9.929564E-02,9.764296E-02,1.908049E-01,2.004732E-01,1.928786E-01,1.774368E-01,1.624891E-01,1.486344E-01,1.168168E-01,1.022074E-01,8.509427E-02,6.597576E-02,1.900557E-01,1.969388E-01,1.937239E-01,3.817084E-01,4.041215E-01,3.893475E-01,3.573146E-01,3.260942E-01,2.998355E-01,2.266660E-01,1.998768E-01,1.662327E-01,1.306297E-01
-9.41787,38.50000,9.379353E-02,9.777478E-02,9.615047E-02,1.796317E-01,1.870762E-01,1.822080E-01,1.708837E-01,1.585413E-01,1.460283E-01,1.159942E-01,1.017789E-01,8.476476E-02,6.555328E-02,1.892297E-01,1.963743E-01,1.931547E-01,3.593023E-01,3.753365E-01,3.673673E-01,3.457510E-01,3.197787E-01,2.977530E-01,2.267252E-01,2.011596E-01,1.681894E-01,1.321859E-01
