lon,lat,PGA-0.002105,PGA-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-8.818,39.600,0.104,0.245,0.073,0.170
-8.818,39.700,0.097,0.228,0.068,0.157
-8.818,39.800,0.092,0.213,0.065,0.147
-8.818,39.900,0.086,0.199,0.061,0.137
-8.818,40.000,0.082,0.187,0.058,0.129
-8.818,40.100,0.079,0.179,0.055,0.123
-8.818,40.200,0.076,0.174,0.053,0.119
-8.818,40.300,0.073,0.169,0.051,0.116
-8.818,40.400,0.070,0.165,0.049,0.113
-8.818,40.500,0.068,0.160,0.047,0.110
-8.818,40.600,0.066,0.155,0.045,0.106
-8.818,40.700,0.064,0.152,0.044,0.104
-8.818,40.800,0.062,0.148,0.042,0.101
-8.818,40.900,0.060,0.144,0.041,0.098
-8.818,41.000,0.059,0.141,0.039,0.096
-8.818,41.100,0.057,0.137,0.038,0.092
-8.818,41.200,0.056,0.132,0.037,0.089
-8.818,41.300,0.054,0.127,0.036,0.085
-8.818,41.400,0.053,0.122,0.035,0.082
-8.818,41.500,0.051,0.118,0.034,0.080
-8.818,41.600,0.050,0.115,0.033,0.077
-8.818,41.700,0.049,0.112,0.033,0.075
-8.818,41.800,0.049,0.110,0.032,0.073
-8.818,41.900,0.048,0.107,0.032,0.072
-8.818,42.000,0.047,0.106,0.031,0.071
-8.818,42.100,0.047,0.104,0.031,0.070
-8.818,42.200,0.046,0.103,0.030,0.069
-8.718,36.900,0.164,0.324,0.122,0.226
-8.718,37.000,0.159,0.322,0.117,0.216
-8.718,37.100,0.153,0.325,0.112,0.207
-8.718,37.200,0.146,0.315,0.107,0.198
-8.718,37.300,0.139,0.288,0.101,0.187
-8.718,37.400,0.132,0.266,0.096,0.177
-8.718,37.500,0.125,0.248,0.091,0.168
-8.718,37.600,0.118,0.232,0.086,0.159
-8.718,37.700,0.114,0.220,0.083,0.152
-8.718,37.800,0.110,0.212,0.080,0.147
-8.718,37.900,0.108,0.209,0.079,0.145
-8.718,38.000,0.108,0.212,0.078,0.146
-8.718,38.100,0.111,0.219,0.079,0.150
-8.718,38.200,0.116,0.233,0.082,0.159
-8.718,38.300,0.120,0.244,0.084,0.167
-8.718,38.400,0.124,0.253,0.087,0.174
-8.718,38.500,0.127,0.263,0.089,0.181
-8.718,38.600,0.131,0.276,0.092,0.190
-8.718,38.700,0.136,0.291,0.095,0.201
-8.718,38.800,0.139,0.311,0.097,0.216
-8.718,38.900,0.140,0.335,0.098,0.235
-8.718,39.000,0.140,0.355,0.097,0.251
-8.718,39.100,0.137,0.363,0.095,0.257
-8.718,39.200,0.133,0.353,0.092,0.250
-8.718,39.300,0.129,0.330,0.089,0.232
-8.718,39.400,0.123,0.300,0.085,0.209
-8.718,39.500,0.114,0.273,0.079,0.190
-8.718,39.600,0.105,0.250,0.074,0.174
-8.718,39.700,0.098,0.234,0.069,0.162
-8.718,39.800,0.093,0.220,0.065,0.151
-8.718,39.900,0.088,0.207,0.062,0.142
-8.718,40.000,0.083,0.195,0.058,0.134
-8.718,40.100,0.080,0.186,0.056,0.128
-8.718,40.200,0.076,0.181,0.054,0.125
-8.718,40.300,0.074,0.176,0.051,0.121
-8.718,40.400,0.071,0.172,0.049,0.119
-8.718,40.500,0.069,0.168,0.048,0.116
-8.718,40.600,0.067,0.163,0.046,0.112
-8.718,40.700,0.065,0.159,0.044,0.110
-8.718,40.800,0.063,0.155,0.043,0.107
-8.718,40.900,0.061,0.151,0.041,0.103
-8.718,41.000,0.059,0.147,0.040,0.100
-8.718,41.100,0.058,0.142,0.039,0.096
-8.718,41.200,0.056,0.136,0.037,0.092
-8.718,41.300,0.054,0.130,0.036,0.088
-8.718,41.400,0.053,0.125,0.035,0.085
-8.718,41.500,0.052,0.121,0.034,0.082
-8.718,41.600,0.051,0.118,0.034,0.079
-8.718,41.700,0.050,0.115,0.033,0.077
-8.718,41.800,0.049,0.112,0.033,0.075
-8.718,41.900,0.049,0.109,0.032,0.073
-8.718,42.000,0.048,0.107,0.032,0.072
-8.718,42.100,0.047,0.106,0.031,0.071
-8.718,42.200,0.047,0.104,0.031,0.070
-8.618,36.900,0.164,0.322,0.120,0.223
-8.618,37.000,0.159,0.315,0.116,0.213
-8.618,37.100,0.154,0.314,0.111,0.204
-8.618,37.200,0.148,0.308,0.105,0.195
-8.618,37.300,0.140,0.290,0.100,0.184
-8.618,37.400,0.132,0.269,0.095,0.175
-8.618,37.500,0.125,0.249,0.090,0.166
-8.618,37.600,0.118,0.232,0.085,0.158
-8.618,37.700,0.113,0.219,0.082,0.150
-8.618,37.800,0.109,0.210,0.079,0.145
-8.618,37.900,0.106,0.206,0.077,0.142
-8.618,38.000,0.106,0.207,0.076,0.142
-8.618,38.100,0.108,0.214,0.077,0.146
-8.618,38.200,0.113,0.226,0.080,0.154
-8.618,38.300,0.117,0.237,0.082,0.162
-8.618,38.400,0.121,0.245,0.084,0.168
-8.618,38.500,0.124,0.254,0.086,0.175
-8.618,38.600,0.128,0.266,0.089,0.183
-8.618,38.700,0.132,0.280,0.092,0.193
-8.618,38.800,0.135,0.297,0.094,0.206
-8.618,38.900,0.137,0.319,0.096,0.222
-8.618,39.000,0.137,0.335,0.095,0.235
-8.618,39.100,0.135,0.345,0.093,0.243
-8.618,39.200,0.132,0.350,0.091,0.247
-8.618,39.300,0.128,0.339,0.088,0.239
-8.618,39.400,0.122,0.311,0.084,0.218
-8.618,39.500,0.114,0.280,0.079,0.195
-8.618,39.600,0.105,0.253,0.073,0.176
-8.618,39.700,0.099,0.237,0.069,0.163
-8.618,39.800,0.093,0.223,0.065,0.153
-8.618,39.900,0.088,0.212,0.062,0.145
-8.618,40.000,0.084,0.202,0.059,0.138
-8.618,40.100,0.080,0.194,0.056,0.134
-8.618,40.200,0.077,0.189,0.054,0.130
-8.618,40.300,0.074,0.185,0.052,0.128
-8.618,40.400,0.072,0.181,0.050,0.125
-8.618,40.500,0.069,0.176,0.048,0.122
-8.618,40.600,0.067,0.172,0.046,0.119
-8.618,40.700,0.065,0.168,0.045,0.116
-8.618,40.800,0.063,0.164,0.043,0.113
-8.618,40.900,0.061,0.158,0.042,0.109
-8.618,41.000,0.059,0.153,0.040,0.105
-8.618,41.100,0.058,0.147,0.039,0.100
-8.618,41.200,0.056,0.140,0.038,0.096
-8.618,41.300,0.055,0.134,0.037,0.091
-8.618,41.400,0.054,0.128,0.036,0.087
-8.618,41.500,0.052,0.124,0.035,0.084
-8.618,41.600,0.051,0.120,0.034,0.081
-8.618,41.700,0.051,0.117,0.034,0.079
-8.618,41.800,0.050,0.114,0.033,0.076
-8.618,41.900,0.049,0.111,0.033,0.075
-8.618,42.000,0.049,0.109,0.032,0.073
-8.618,42.100,0.048,0.107,0.032,0.072
-8.618,42.200,0.047,0.106,0.031,0.071
-8.518,36.900,0.165,0.324,0.119,0.221
-8.518,37.000,0.160,0.314,0.115,0.211
-8.518,37.100,0.155,0.312,0.109,0.201
-8.518,37.200,0.148,0.307,0.104,0.192
-8.518,37.300,0.140,0.287,0.099,0.182
-8.518,37.400,0.132,0.266,0.094,0.173
-8.518,37.500,0.124,0.248,0.089,0.165
-8.518,37.600,0.118,0.232,0.085,0.156
-8.518,37.700,0.113,0.219,0.081,0.149
-8.518,37.800,0.108,0.209,0.078,0.143
-8.518,37.900,0.105,0.204,0.076,0.140
-8.518,38.000,0.105,0.204,0.075,0.139
-8.518,38.100,0.106,0.210,0.075,0.143
-8.518,38.200,0.111,0.221,0.078,0.150
-8.518,38.300,0.114,0.230,0.080,0.156
-8.518,38.400,0.117,0.238,0.082,0.163
-8.518,38.500,0.120,0.246,0.084,0.169
-8.518,38.600,0.124,0.256,0.086,0.176
-8.518,38.700,0.128,0.269,0.089,0.185
-8.518,38.800,0.131,0.284,0.091,0.196
-8.518,38.900,0.132,0.297,0.092,0.206
-8.518,39.000,0.132,0.307,0.092,0.214
-8.518,39.100,0.131,0.314,0.090,0.220
-8.518,39.200,0.128,0.327,0.088,0.230
-8.518,39.300,0.125,0.331,0.086,0.234
-8.518,39.400,0.120,0.314,0.082,0.220
