lon,lat,mean
-8.71787,42,0.074
-8.71787,42.1,0.074
-8.71787,42.2,0.073
-8.61787,36.9,0.237
-8.61787,37,0.248
-8.61787,37.1,0.242
-8.61787,37.2,0.234
-8.61787,37.3,0.225
-8.61787,37.4,0.215
-8.61787,37.5,0.202
-8.61787,37.6,0.189
-8.61787,37.7,0.181
-8.61787,37.8,0.178
-8.61787,37.9,0.176
-8.61787,38,0.176
-8.61787,38.1,0.178
-8.61787,38.2,0.183
-8.61787,38.3,0.193
-8.61787,38.4,0.199
-8.61787,38.5,0.203
-8.61787,38.6,0.208
-8.61787,38.7,0.209
-8.61787,38.8,0.211
-8.61787,38.9,0.215
-8.61787,39,0.215
-8.61787,39.1,0.214
-8.61787,39.2,0.213
-8.61787,39.3,0.206
-8.61787,39.4,0.187
-8.61787,39.5,0.164
-8.61787,39.6,0.146
-8.61787,39.7,0.135
-8.61787,39.8,0.126
-8.61787,39.9,0.122
-8.61787,40,0.118
-8.61787,40.1,0.112
-8.61787,40.2,0.107
-8.61787,40.3,0.105
-8.61787,40.4,0.102
-8.61787,40.5,0.098
-8.61787,40.6,0.095
-8.61787,40.7,0.093
-8.61787,40.8,0.091
-8.61787,40.9,0.089
-8.61787,41,0.088
-8.61787,41.1,0.086
-8.61787,41.2,0.084
-8.61787,41.3,0.082
-8.61787,41.4,0.08
-8.61787,41.5,0.079
-8.61787,41.6,0.078
-8.61787,41.7,0.077
-8.61787,41.8,0.076
-8.61787,41.9,0.075
-8.61787,42,0.075
-8.61787,42.1,0.074
-8.61787,42.2,0.074
-8.51787,36.9,0.242
-8.51787,37,0.25
-8.51787,37.1,0.243
-8.51787,37.2,0.234
-8.51787,37.3,0.225
-8.51787,37.4,0.215
-8.51787,37.5,0.201
-8.51787,37.6,0.188
-8.51787,37.7,0.181
-8.51787,37.8,0.177
-8.51787,37.9,0.174
-8.51787,38,0.174
-8.51787,38.1,0.175
-8.51787,38.2,0.176
-8.51787,38.3,0.179
-8.51787,38.4,0.182
-8.51787,38.5,0.186
-8.51787,38.6,0.197
-8.51787,38.7,0.199
-8.51787,38.8,0.202
-8.51787,38.9,0.203
-8.51787,39,0.204
-8.51787,39.1,0.205
-8.51787,39.2,0.206
-8.51787,39.3,0.202
-8.51787,39.4,0.191
-8.51787,39.5,0.174
-8.51787,39.6,0.148
-8.51787,39.7,0.135
-8.51787,39.8,0.125
-8.51787,39.9,0.121
-8.51787,40,0.115
-8.51787,40.1,0.112
-8.51787,40.2,0.108
-8.51787,40.3,0.105
-8.51787,40.4,0.102
-8.51787,40.5,0.098
-8.51787,40.6,0.096
-8.51787,40.7,0.094
-8.51787,40.8,0.092
-8.51787,40.9,0.09
-8.51787,41,0.088
-8.51787,41.1,0.085
-8.51787,41.2,0.084
-8.51787,41.3,0.082
-8.51787,41.4,0.081
-8.51787,41.5,0.079
-8.51787,41.6,0.078
