lon,lat,mean
-8.61787,37.9,0.076
-8.61787,38,0.075
-8.61787,38.1,0.077
-8.61787,38.2,0.081
-8.61787,38.3,0.083
-8.61787,38.4,0.084
-8.61787,38.5,0.085
-8.61787,38.6,0.088
-8.61787,38.7,0.09
-8.61787,38.8,0.092
-8.61787,38.9,0.094
-8.61787,39,0.095
-8.61787,39.1,0.094
-8.61787,39.2,0.092
-8.61787,39.3,0.09
-8.61787,39.4,0.087
-8.61787,39.5,0.08
-8.61787,39.6,0.072
-8.61787,39.7,0.067
-8.61787,39.8,0.064
-8.61787,39.9,0.061
-8.61787,40,0.058
-8.61787,40.1,0.056
-8.61787,40.2,0.054
-8.61787,40.3,0.053
-8.61787,40.4,0.053
-8.61787,40.5,0.051
-8.61787,40.6,0.05
-8.61787,40.7,0.049
-8.61787,40.8,0.048
-8.61787,40.9,0.047
-8.61787,41,0.046
-8.61787,41.1,0.045
-8.61787,41.2,0.044
-8.61787,41.3,0.043
-8.61787,41.4,0.042
-8.61787,41.5,0.042
-8.61787,41.6,0.041
-8.61787,41.7,0.04
-8.61787,41.8,0.04
-8.61787,41.9,0.039
-8.61787,42,0.039
-8.61787,42.1,0.038
-8.61787,42.2,0.038
-8.51787,36.9,0.147
-8.51787,37,0.128
-8.51787,37.1,0.12
-8.51787,37.2,0.116
-8.51787,37.3,0.112
-8.51787,37.4,0.106
-8.51787,37.5,0.094
-8.51787,37.6,0.087
-8.51787,37.7,0.082
-8.51787,37.8,0.078
-8.51787,37.9,0.075
-8.51787,38,0.074
-8.51787,38.1,0.075
-8.51787,38.2,0.079
-8.51787,38.3,0.081
-8.51787,38.4,0.082
-8.51787,38.5,0.084
-8.51787,38.6,0.086
-8.51787,38.7,0.089
-8.51787,38.8,0.09
-8.51787,38.9,0.091
-8.51787,39,0.092
-8.51787,39.1,0.092
-8.51787,39.2,0.09
-8.51787,39.3,0.089
-8.51787,39.4,0.086
-8.51787,39.5,0.078
-8.51787,39.6,0.071
-8.51787,39.7,0.067
-8.51787,39.8,0.064
-8.51787,39.9,0.061
-8.51787,40,0.057
-8.51787,40.1,0.055
-8.51787,40.2,0.054
-8.51787,40.3,0.053
-8.51787,40.4,0.052
-8.51787,40.5,0.051
-8.51787,40.6,0.05
-8.51787,40.7,0.049
-8.51787,40.8,0.048
-8.51787,40.9,0.046
-8.51787,41,0.045
-8.51787,41.1,0.045
-8.51787,41.2,0.044
-8.51787,41.3,0.043
-8.51787,41.4,0.042
-8.51787,41.5,0.041
-8.51787,41.6,0.04
-8.51787,41.7,0.04
-8.51787,41.8,0.039
-8.51787,41.9,0.039
-8.51787,42,0.038
-8.51787,42.1,0.038
-8.51787,42.2,0.038
-8.41787,36.9,0.148
-8.41787,37,0.129
-8.41787,37.1,0.12
-8.41787,37.2,0.116
-8.41787,37.3,0.111
-8.41787,37.4,0.105
-8.41787,37.5,0.094
-8.41787,37.6,0.086
-8.41787,37.7,0.081
-8.41787,37.8,0.077
-8.41787,37.9,0.074
-8.41787,38,0.072
-8.41787,38.1,0.074
-8.41787,38.2,0.077
-8.41787,38.3,0.079
-8.41787,38.4,0.08
-8.41787,38.5,0.082
-8.41787,38.6,0.084
-8.41787,38.7,0.086
-8.41787,38.8,0.086
-8.41787,38.9,0.087
-8.41787,39,0.088
-8.41787,39.1,0.088
-8.41787,39.2,0.086
-8.41787,39.3,0.085
-8.41787,39.4,0.083
-8.41787,39.5,0.076
-8.41787,39.6,0.069
-8.41787,39.7,0.065
-8.41787,39.8,0.062
-8.41787,39.9,0.06
-8.41787,40,0.057
-8.41787,40.1,0.055
-8.41787,40.2,0.054
-8.41787,40.3,0.053
-8.41787,40.4,0.052
-8.41787,40.5,0.05
-8.41787,40.6,0.049
-8.41787,40.7,0.048
-8.41787,40.8,0.047
-8.41787,40.9,0.046
-8.41787,41,0.045
-8.41787,41.1,0.044
-8.41787,41.2,0.043
-8.41787,41.3,0.042
-8.41787,41.4,0.041
-8.41787,41.5,0.04
-8.41787,41.6,0.04
-8.41787,41.7,0.039
-8.41787,41.8,0.039
-8.41787,41.9,0.038
-8.41787,42,0.038
-8.41787,42.1,0.038
-8.41787,42.2,0.037
-8.31787,36.9,0.152
-8.31787,37,0.131
-8.31787,37.1,0.121
-8.31787,37.2,0.117
-8.31787,37.3,0.112
-8.31787,37.4,0.105
-8.31787,37.5,0.093
-8.31787,37.6,0.085
