lon,lat,mean
-8.31787,40.6,0.064
-8.31787,40.7,0.063
-8.31787,40.8,0.061
-8.31787,40.9,0.06
-8.31787,41,0.059
-8.31787,41.1,0.058
-8.31787,41.2,0.056
-8.31787,41.3,0.056
-8.31787,41.4,0.055
-8.31787,41.5,0.054
-8.31787,41.6,0.053
-8.31787,41.7,0.052
-8.31787,41.8,0.051
-8.31787,41.9,0.051
-8.31787,42,0.05
-8.31787,42.1,0.05
-8.31787,42.2,0.049
-8.21787,36.9,0.169
-8.21787,37,0.19
-8.21787,37.1,0.186
-8.21787,37.2,0.18
-8.21787,37.3,0.172
-8.21787,37.4,0.164
-8.21787,37.5,0.155
-8.21787,37.6,0.149
-8.21787,37.7,0.145
-8.21787,37.8,0.142
-8.21787,37.9,0.138
-8.21787,38,0.136
-8.21787,38.1,0.134
-8.21787,38.2,0.134
-8.21787,38.3,0.133
-8.21787,38.4,0.128
-8.21787,38.5,0.127
-8.21787,38.6,0.125
-8.21787,38.7,0.124
-8.21787,38.8,0.12
-8.21787,38.9,0.119
-8.21787,39,0.119
-8.21787,39.1,0.117
-8.21787,39.2,0.112
-8.21787,39.3,0.108
-8.21787,39.4,0.106
-8.21787,39.5,0.097
-8.21787,39.6,0.092
-8.21787,39.7,0.085
-8.21787,39.8,0.082
-8.21787,39.9,0.076
-8.21787,40,0.075
-8.21787,40.1,0.072
-8.21787,40.2,0.071
-8.21787,40.3,0.068
-8.21787,40.4,0.065
-8.21787,40.5,0.064
-8.21787,40.6,0.063
-8.21787,40.7,0.061
-8.21787,40.8,0.06
-8.21787,40.9,0.059
-8.21787,41,0.058
-8.21787,41.1,0.056
-8.21787,41.2,0.055
-8.21787,41.3,0.055
-8.21787,41.4,0.054
-8.21787,41.5,0.053
-8.21787,41.6,0.052
-8.21787,41.7,0.052
-8.21787,41.8,0.051
-8.21787,41.9,0.051
-8.21787,42,0.05
-8.21787,42.1,0.05
-8.21787,42.2,0.049
-8.11787,36.9,0.17
-8.11787,37,0.162
-8.11787,37.1,0.184
-8.11787,37.2,0.178
-8.11787,37.3,0.171
-8.11787,37.4,0.163
-8.11787,37.5,0.153
-8.11787,37.6,0.147
-8.11787,37.7,0.143
-8.11787,37.8,0.139
-8.11787,37.9,0.137
-8.11787,38,0.134
-8.11787,38.1,0.133
-8.11787,38.2,0.132
-8.11787,38.3,0.126
-8.11787,38.4,0.126
-8.11787,38.5,0.125
-8.11787,38.6,0.123
-8.11787,38.7,0.12
-8.11787,38.8,0.116
-8.11787,38.9,0.116
-8.11787,39,0.113
-8.11787,39.1,0.107
-8.11787,39.2,0.104
-8.11787,39.3,0.102
-8.11787,39.4,0.097
-8.11787,39.5,0.092
-8.11787,39.6,0.087
-8.11787,39.7,0.082
-8.11787,39.8,0.08
-8.11787,39.9,0.075
-8.11787,40,0.074
-8.11787,40.1,0.07
-8.11787,40.2,0.069
-8.11787,40.3,0.066
-8.11787,40.4,0.063
-8.11787,40.5,0.062
-8.11787,40.6,0.061
-8.11787,40.7,0.06
-8.11787,40.8,0.059
-8.11787,40.9,0.058
-8.11787,41,0.057
-8.11787,41.1,0.055
-8.11787,41.2,0.054
-8.11787,41.3,0.054
-8.11787,41.4,0.053
-8.11787,41.5,0.052
-8.11787,41.6,0.052
-8.11787,41.7,0.051
-8.11787,41.8,0.051
-8.11787,41.9,0.05
-8.11787,42,0.05
-8.11787,42.1,0.049
-8.11787,42.2,0.049
-8.01787,36.9,0.17
-8.01787,37,0.162
-8.01787,37.1,0.183
-8.01787,37.2,0.176
-8.01787,37.3,0.169
-8.01787,37.4,0.16
-8.01787,37.5,0.151
-8.01787,37.6,0.143
-8.01787,37.7,0.14
-8.01787,37.8,0.137
-8.01787,37.9,0.134
-8.01787,38,0.132
-8.01787,38.1,0.132
-8.01787,38.2,0.129
-8.01787,38.3,0.125
-8.01787,38.4,0.125
-8.01787,38.5,0.122
-8.01787,38.6,0.12
-8.01787,38.7,0.115
-8.01787,38.8,0.114
-8.01787,38.9,0.112
-8.01787,39,0.109
-8.01787,39.1,0.102
-8.01787,39.2,0.099
-8.01787,39.3,0.098
-8.01787,39.4,0.091
-8.01787,39.5,0.087
-8.01787,39.6,0.085
-8.01787,39.7,0.08
-8.01787,39.8,0.074
-8.01787,39.9,0.073
-8.01787,40,0.07
-8.01787,40.1,0.069
-8.01787,40.2,0.066
-8.01787,40.3,0.063
-8.01787,40.4,0.062
-8.01787,40.5,0.061
-8.01787,40.6,0.06
-8.01787,40.7,0.059
-8.01787,40.8,0.058
-8.01787,40.9,0.057
-8.01787,41,0.056
-8.01787,41.1,0.055
-8.01787,41.2,0.054
-8.01787,41.3,0.053
-8.01787,41.4,0.052
-8.01787,41.5,0.051
-8.01787,41.6,0.05
-8.01787,41.7,0.05
-8.01787,41.8,0.05
-8.01787,41.9,0.05
-8.01787,42,0.049
-8.01787,42.1,0.049
-8.01787,42.2,0.049
-7.91787,36.9,0.171
-7.91787,37,0.161
-7.91787,37.1,0.181
-7.91787,37.2,0.175
-7.91787,37.3,0.167
-7.91787,37.4,0.156
-7.91787,37.5,0.147
-7.91787,37.6,0.142
-7.91787,37.7,0.139
-7.91787,37.8,0.135
-7.91787,37.9,0.133
-7.91787,38,0.131
-7.91787,38.1,0.129
-7.91787,38.2,0.124
-7.91787,38.3,0.124
-7.91787,38.4,0.123
-7.91787,38.5,0.12
-7.91787,38.6,0.113
-7.91787,38.7,0.113
-7.91787,38.8,0.111
-7.91787,38.9,0.108
-7.91787,39,0.102
-7.91787,39.1,0.099
-7.91787,39.2,0.097
-7.91787,39.3,0.092
-7.91787,39.4,0.088
-7.91787,39.5,0.084
-7.91787,39.6,0.08
-7.91787,39.7,0.078
-7.91787,39.8,0.073
-7.91787,39.9,0.072
-7.91787,40,0.068
-7.91787,40.1,0.067
-7.91787,40.2,0.065
-7.91787,40.3,0.062
-7.91787,40.4,0.061
-7.91787,40.5,0.06
-7.91787,40.6,0.059
-7.91787,40.7,0.058
-7.91787,40.8,0.057
-7.91787,40.9,0.056
-7.91787,41,0.055
-7.91787,41.1,0.054
-7.91787,41.2,0.053
-7.91787,41.3,0.052
-7.91787,41.4,0.051
-7.91787,41.5,0.05
-7.91787,41.6,0.05
-7.91787,41.7,0.049
-7.91787,41.8,0.049
-7.91787,41.9,0.049
-7.91787,42,0.049
-7.91787,42.1,0.049
-7.91787,42.2,0.048
-7.81787,36.9,0.17
-7.81787,37,0.16
-7.81787,37.1,0.18
-7.81787,37.2,0.173
-7.81787,37.3,0.163
-7.81787,37.4,0.152
-7.81787,37.5,0.145
-7.81787,37.6,0.141
-7.81787,37.7,0.136
-7.81787,37.8,0.133
-7.81787,37.9,0.131
-7.81787,38,0.128
-7.81787,38.1,0.124
-7.81787,38.2,0.123
-7.81787,38.3,0.122
-7.81787,38.4,0.119
-7.81787,38.5,0.115
-7.81787,38.6,0.111
-7.81787,38.7,0.11
-7.81787,38.8,0.109
-7.81787,38.9,0.101
-7.81787,39,0.098
-7.81787,39.1,0.097
-7.81787,39.2,0.095
-7.81787,39.3,0.089
-7.81787,39.4,0.083
-7.81787,39.5,0.082
-7.81787,39.6,0.078
-7.81787,39.7,0.073
-7.81787,39.8,0.071
-7.81787,39.9,0.07
-7.81787,40,0.067
-7.81787,40.1,0.064
-7.81787,40.2,0.062
-7.81787,40.3,0.06
-7.81787,40.4,0.059
-7.81787,40.5,0.059
-7.81787,40.6,0.058
-7.81787,40.7,0.057
-7.81787,40.8,0.056
-7.81787,40.9,0.055
-7.81787,41,0.054
-7.81787,41.1,0.053
-7.81787,41.2,0.052
-7.81787,41.3,0.051
-7.81787,41.4,0.05
-7.81787,41.5,0.05
-7.81787,41.6,0.049
