#,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-04T09:01:17', checksum=3746912572, kind='quantile-0.05', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-9.01787,40.50000,4.283191E-02,9.539844E-02,2.945908E-02,6.197970E-02
-9.01787,40.60000,4.163865E-02,9.377272E-02,2.832182E-02,5.993500E-02
-9.01787,40.70000,4.045140E-02,9.212227E-02,2.724728E-02,5.799678E-02
-9.01787,41.20000,3.582256E-02,8.749182E-02,2.282466E-02,4.952364E-02
-9.01787,41.30000,3.481214E-02,8.676429E-02,2.215874E-02,4.801214E-02
-9.01787,41.40000,3.418274E-02,8.503716E-02,2.169602E-02,4.742906E-02
-9.01787,41.50000,3.383273E-02,8.295817E-02,2.139994E-02,4.757810E-02
-9.01787,41.60000,3.350611E-02,8.171770E-02,2.120245E-02,4.799668E-02
-9.01787,41.70000,3.330358E-02,8.105243E-02,2.109071E-02,4.862148E-02
-9.01787,41.80000,3.322281E-02,8.079907E-02,2.106425E-02,4.937133E-02
-9.01787,41.90000,3.326786E-02,8.089703E-02,2.107732E-02,5.005510E-02
-9.01787,42.00000,3.329590E-02,7.894290E-02,2.109719E-02,4.988284E-02
-9.01787,42.10000,3.333350E-02,7.784860E-02,2.112139E-02,4.899347E-02
-9.01787,42.20000,3.342505E-02,7.640918E-02,2.106880E-02,4.809931E-02
-8.91787,36.90000,1.132074E-01,2.001274E-01,9.491760E-02,1.799349E-01
-8.91787,37.00000,1.099697E-01,1.926618E-01,9.090924E-02,1.708392E-01
-8.91787,37.10000,1.061966E-01,1.858775E-01,8.679961E-02,1.619376E-01
-8.91787,37.20000,1.013499E-01,1.775839E-01,8.240235E-02,1.517096E-01
-8.91787,37.30000,9.539455E-02,1.664635E-01,7.739579E-02,1.404779E-01
-8.91787,37.40000,9.118791E-02,1.588526E-01,7.331521E-02,1.320859E-01
-8.91787,37.50000,8.931434E-02,1.568751E-01,7.087576E-02,1.270723E-01
-8.91787,37.60000,8.789496E-02,1.567415E-01,6.902096E-02,1.238934E-01
-8.91787,37.70000,8.761808E-02,1.602041E-01,6.804928E-02,1.233392E-01
-8.91787,37.80000,8.967428E-02,1.691315E-01,6.863033E-02,1.269971E-01
-8.91787,37.90000,9.231103E-02,1.809178E-01,6.979986E-02,1.333938E-01
-8.91787,38.00000,9.501323E-02,1.966998E-01,6.985396E-02,1.373448E-01
-8.91787,38.10000,9.850244E-02,1.979638E-01,7.055680E-02,1.406278E-01
-8.91787,38.20000,1.020296E-01,2.012351E-01,7.262706E-02,1.419732E-01
-8.91787,38.30000,1.018228E-01,2.032333E-01,7.237385E-02,1.432951E-01
-8.91787,38.40000,1.017652E-01,2.060893E-01,7.215334E-02,1.451582E-01
-8.91787,38.50000,1.019517E-01,2.100027E-01,7.211033E-02,1.481973E-01
-8.91787,38.60000,1.020876E-01,2.154864E-01,7.207962E-02,1.530617E-01
-8.91787,38.70000,1.019464E-01,2.246084E-01,7.190683E-02,1.604693E-01
-8.91787,38.80000,1.019063E-01,2.327489E-01,7.168397E-02,1.662121E-01
-8.91787,38.90000,1.015337E-01,2.432361E-01,7.113447E-02,1.713506E-01
-8.91787,39.00000,1.002576E-01,2.424541E-01,6.999332E-02,1.678376E-01
-8.91787,39.10000,9.791818E-02,2.313942E-01,6.828121E-02,1.608886E-01
-8.91787,39.20000,9.490623E-02,2.207332E-01,6.625827E-02,1.539822E-01
-8.91787,39.30000,9.209288E-02,2.117194E-01,6.382623E-02,1.475837E-01
-8.91787,39.40000,8.869767E-02,2.008367E-01,6.072202E-02,1.395089E-01
-8.91787,39.50000,8.437101E-02,1.826424E-01,5.796613E-02,1.266014E-01
-8.91787,39.60000,7.534687E-02,1.631542E-01,5.247973E-02,1.144676E-01
-8.91787,39.70000,6.820612E-02,1.481808E-01,4.794523E-02,1.041781E-01
