lat,lon,region,vs30,vs30measured,xvf,z1pt0,z2pt5
40.5,-8.61787,5,800,TRUE,150,31.07,0.57
40.6,-8.61787,5,800,TRUE,150,31.07,0.57
40.7,-8.61787,5,800,TRUE,150,31.07,0.57
40.8,-8.61787,5,800,TRUE,150,31.07,0.57
40.9,-8.61787,5,800,TRUE,150,31.07,0.57
41,-8.61787,5,800,TRUE,150,31.07,0.57
41.1,-8.61787,5,800,TRUE,150,31.07,0.57
41.2,-8.61787,5,800,TRUE,150,31.07,0.57
41.3,-8.61787,5,800,TRUE,150,31.07,0.57
41.4,-8.61787,5,800,TRUE,150,31.07,0.57
41.5,-8.61787,5,800,TRUE,150,31.07,0.57
41.6,-8.61787,5,800,TRUE,150,31.07,0.57
41.7,-8.61787,5,800,TRUE,150,31.07,0.57
41.8,-8.61787,5,800,TRUE,150,31.07,0.57
41.9,-8.61787,5,800,TRUE,150,31.07,0.57
42,-8.61787,5,800,TRUE,150,31.07,0.57
42.1,-8.61787,5,800,TRUE,150,31.07,0.57
42.2,-8.61787,5,800,TRUE,150,31.07,0.57
36.9,-8.51787,0,800,TRUE,150,31.07,0.57
37,-8.51787,5,800,TRUE,150,31.07,0.57
37.1,-8.51787,5,800,TRUE,150,31.07,0.57
37.2,-8.51787,5,800,TRUE,150,31.07,0.57
37.3,-8.51787,5,800,TRUE,150,31.07,0.57
37.4,-8.51787,5,800,TRUE,150,31.07,0.57
37.5,-8.51787,5,800,TRUE,150,31.07,0.57
37.6,-8.51787,5,800,TRUE,150,31.07,0.57
37.7,-8.51787,5,800,TRUE,150,31.07,0.57
37.8,-8.51787,5,800,TRUE,150,31.07,0.57
37.9,-8.51787,5,800,TRUE,150,31.07,0.57
38,-8.51787,5,800,TRUE,150,31.07,0.57
38.1,-8.51787,5,800,TRUE,150,31.07,0.57
38.2,-8.51787,5,800,TRUE,150,31.07,0.57
38.3,-8.51787,5,800,TRUE,150,31.07,0.57
38.4,-8.51787,5,800,TRUE,150,31.07,0.57
38.5,-8.51787,5,800,TRUE,150,31.07,0.57
38.6,-8.51787,5,800,TRUE,150,31.07,0.57
38.7,-8.51787,5,800,TRUE,150,31.07,0.57
38.8,-8.51787,5,800,TRUE,150,31.07,0.57
38.9,-8.51787,5,800,TRUE,150,31.07,0.57
39,-8.51787,5,800,TRUE,150,31.07,0.57
39.1,-8.51787,5,800,TRUE,150,31.07,0.57
39.2,-8.51787,5,800,TRUE,150,31.07,0.57
39.3,-8.51787,5,800,TRUE,150,31.07,0.57
39.4,-8.51787,5,800,TRUE,150,31.07,0.57
39.5,-8.51787,5,800,TRUE,150,31.07,0.57
39.6,-8.51787,5,800,TRUE,150,31.07,0.57
39.7,-8.51787,5,800,TRUE,150,31.07,0.57
39.8,-8.51787,5,800,TRUE,150,31.07,0.57
39.9,-8.51787,5,800,TRUE,150,31.07,0.57
40,-8.51787,5,800,TRUE,150,31.07,0.57
40.1,-8.51787,5,800,TRUE,150,31.07,0.57
40.2,-8.51787,5,800,TRUE,150,31.07,0.57
40.3,-8.51787,5,800,TRUE,150,31.07,0.57
40.4,-8.51787,5,800,TRUE,150,31.07,0.57
40.5,-8.51787,5,800,TRUE,150,31.07,0.57
40.6,-8.51787,5,800,TRUE,150,31.07,0.57
40.7,-8.51787,5,800,TRUE,150,31.07,0.57
40.8,-8.51787,5,800,TRUE,150,31.07,0.57
40.9,-8.51787,5,800,TRUE,150,31.07,0.57
41,-8.51787,5,800,TRUE,150,31.07,0.57
41.1,-8.51787,5,800,TRUE,150,31.07,0.57
41.2,-8.51787,5,800,TRUE,150,31.07,0.57
41.3,-8.51787,5,800,TRUE,150,31.07,0.57
41.4,-8.51787,5,800,TRUE,150,31.07,0.57
41.5,-8.51787,5,800,TRUE,150,31.07,0.57
41.6,-8.51787,5,800,TRUE,150,31.07,0.57
41.7,-8.51787,5,800,TRUE,150,31.07,0.57
41.8,-8.51787,5,800,TRUE,150,31.07,0.57
41.9,-8.51787,5,800,TRUE,150,31.07,0.57
42,-8.51787,5,800,TRUE,150,31.07,0.57
42.1,-8.51787,5,800,TRUE,150,31.07,0.57
42.2,-8.51787,5,800,TRUE,150,31.07,0.57
36.9,-8.41787,0,800,TRUE,150,31.07,0.57
37,-8.41787,5,800,TRUE,150,31.07,0.57
37.1,-8.41787,5,800,TRUE,150,31.07,0.57
37.2,-8.41787,5,800,TRUE,150,31.07,0.57
37.3,-8.41787,5,800,TRUE,150,31.07,0.57
37.4,-8.41787,5,800,TRUE,150,31.07,0.57
37.5,-8.41787,5,800,TRUE,150,31.07,0.57
37.6,-8.41787,5,800,TRUE,150,31.07,0.57
37.7,-8.41787,5,800,TRUE,150,31.07,0.57
37.8,-8.41787,5,800,TRUE,150,31.07,0.57
37.9,-8.41787,5,800,TRUE,150,31.07,0.57
38,-8.41787,5,800,TRUE,150,31.07,0.57
38.1,-8.41787,5,800,TRUE,150,31.07,0.57
38.2,-8.41787,5,800,TRUE,150,31.07,0.57
38.3,-8.41787,5,800,TRUE,150,31.07,0.57
38.4,-8.41787,5,800,TRUE,150,31.07,0.57
38.5,-8.41787,5,800,TRUE,150,31.07,0.57
38.6,-8.41787,5,800,TRUE,150,31.07,0.57
38.7,-8.41787,5,800,TRUE,150,31.07,0.57
38.8,-8.41787,5,800,TRUE,150,31.07,0.57
