#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:08:17', checksum=2606410892, kind='quantile-0.95', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0)
-9.51787,39.10000,1.417734E-01,2.570104E-01,2.839603E-01,2.864062E-01,2.718038E-01,2.549891E-01,2.386297E-01,2.153734E-01,2.022395E-01,1.639335E-01,1.438837E-01,1.168476E-01,9.546663E-02,2.839482E-01,5.240003E-01,5.518747E-01,5.433992E-01,5.098489E-01,4.834449E-01,4.554961E-01,4.296083E-01,4.106934E-01,3.008698E-01,2.698095E-01,2.209146E-01,1.908296E-01
-9.51787,39.20000,1.360194E-01,2.482974E-01,2.696175E-01,2.686051E-01,2.547161E-01,2.414892E-01,2.227073E-01,2.054544E-01,1.912615E-01,1.548759E-01,1.364703E-01,1.095984E-01,8.961438E-02,2.797208E-01,5.095220E-01,5.377988E-01,5.267324E-01,4.972816E-01,4.651628E-01,4.350793E-01,4.085297E-01,3.886721E-01,2.806565E-01,2.518638E-01,2.127273E-01,1.780379E-01
-9.51787,39.30000,1.318460E-01,2.428995E-01,2.610206E-01,2.601145E-01,2.466981E-01,2.338658E-01,2.166616E-01,1.986898E-01,1.849243E-01,1.491041E-01,1.313027E-01,1.050053E-01,8.633658E-02,2.736156E-01,4.925311E-01,5.328466E-01,5.149212E-01,4.932147E-01,4.576548E-01,4.208259E-01,3.957590E-01,3.728478E-01,2.731287E-01,2.440251E-01,2.058819E-01,1.686786E-01
-9.51787,39.40000,1.296179E-01,2.354037E-01,2.565185E-01,2.533316E-01,2.393559E-01,2.229721E-01,2.044965E-01,1.854713E-01,1.749096E-01,1.393723E-01,1.207309E-01,9.855606E-02,7.814445E-02,2.704440E-01,4.778454E-01,5.246540E-01,5.060360E-01,4.911982E-01,4.486830E-01,4.014844E-01,3.728337E-01,3.526649E-01,2.577083E-01,2.281398E-01,1.956636E-01,1.569292E-01
-9.51787,39.50000,1.276903E-01,2.214371E-01,2.533402E-01,2.498807E-01,2.381326E-01,2.197492E-01,1.972559E-01,1.802869E-01,1.681610E-01,1.326586E-01,1.152383E-01,9.432592E-02,7.542223E-02,2.676588E-01,4.597920E-01,5.228476E-01,5.046003E-01,5.025191E-01,4.553860E-01,3.960932E-01,3.571183E-01,3.355957E-01,2.495489E-01,2.204931E-01,1.850192E-01,1.500408E-01
-9.51787,39.60000,1.255004E-01,2.105143E-01,2.485811E-01,2.432082E-01,2.399248E-01,2.211128E-01,1.921571E-01,1.743739E-01,1.627003E-01,1.283426E-01,1.110540E-01,9.066308E-02,7.181732E-02,2.691323E-01,4.541518E-01,5.178051E-01,5.445952E-01,5.643001E-01,5.057502E-01,4.066881E-01,3.539039E-01,3.225645E-01,2.406745E-01,2.128492E-01,1.746719E-01,1.437495E-01
-9.41787,38.20000,1.695741E-01,2.895972E-01,3.554229E-01,3.736706E-01,3.432588E-01,3.209470E-01,2.918268E-01,2.716056E-01,2.518153E-01,2.087415E-01,1.870814E-01,1.447989E-01,1.300190E-01,3.224115E-01,5.968029E-01,6.641100E-01,7.010778E-01,6.815466E-01,6.144187E-01,5.403533E-01,5.065460E-01,4.715249E-01,3.861247E-01,3.544696E-01,2.821122E-01,2.660956E-01
-9.41787,38.30000,1.751565E-01,2.957737E-01,3.649076E-01,3.825097E-01,3.544285E-01,3.301167E-01,2.981888E-01,2.749577E-01,2.540692E-01,2.092261E-01,1.859653E-01,1.466301E-01,1.269558E-01,3.256232E-01,5.749912E-01,6.863284E-01,7.021369E-01,6.525885E-01,6.067442E-01,5.507330E-01,5.146574E-01,4.765210E-01,3.859456E-01,3.510965E-01,2.825706E-01,2.584206E-01
-9.41787,38.40000,1.779852E-01,3.056158E-01,3.703425E-01,3.851841E-01,3.586653E-01,3.348939E-01,3.018175E-01,2.776591E-01,2.569467E-01,2.108383E-01,1.870120E-01,1.495563E-01,1.275149E-01,3.305566E-01,5.741669E-01,6.918157E-01,7.003312E-01,6.525347E-01,6.078610E-01,5.563015E-01,5.206966E-01,4.851155E-01,3.883717E-01,3.513179E-01,2.875016E-01,2.574835E-01
-9.41787,38.50000,1.758796E-01,3.055343E-01,3.712675E-01,3.808374E-01,3.552828E-01,3.286678E-01,2.968798E-01,2.706633E-01,2.490694E-01,2.066376E-01,1.802099E-01,1.470861E-01,1.219665E-01,3.292663E-01,5.757587E-01,6.892908E-01,6.895370E-01,6.437491E-01,6.015043E-01,5.517495E-01,5.143227E-01,4.863315E-01,3.791796E-01,3.421271E-01,2.840223E-01,2.445955E-01
-9.41787,38.60000,1.740467E-01,3.044020E-01,3.690794E-01,3.722051E-01,3.495482E-01,3.229060E-01,2.918825E-01,2.659731E-01,2.468089E-01,2.022910E-01,1.778049E-01,1.457031E-01,1.216038E-01,3.269662E-01,5.710086E-01,6.758081E-01,6.742932E-01,6.305003E-01,5.895424E-01,5.452664E-01,5.060604E-01,4.837567E-01,3.716474E-01,3.356498E-01,2.807089E-01,2.428624E-01
-9.41787,38.70000,1.721308E-01,3.010664E-01,3.609959E-01,3.645367E-01,3.435390E-01,3.171677E-01,2.882709E-01,2.629327E-01,2.421613E-01,1.998663E-01,1.759272E-01,1.441763E-01,1.178809E-01,3.217255E-01,5.663243E-01,6.572195E-01,6.565055E-01,6.164926E-01,5.785986E-01,5.390921E-01,5.056142E-01,4.806476E-01,3.664004E-01,3.317346E-01,2.763904E-01,2.372067E-01
