#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:08:17', checksum=2606410892, kind='quantile-0.05', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-9.51787,39.10000,8.668183E-02,1.794806E-01,1.173386E-01,2.459160E-01,1.245212E-01,2.577479E-01,1.923458E-01,3.937304E-01,1.818184E-01,3.713814E-01,1.652213E-01,3.340570E-01,1.448070E-01,2.872711E-01,1.279672E-01,2.546085E-01,1.132650E-01,2.232637E-01,9.254324E-02,1.784857E-01,7.513783E-02,1.478221E-01,5.749474E-02,1.102708E-01,3.937074E-02,7.617589E-02
-9.51787,39.20000,8.357034E-02,1.668698E-01,1.104705E-01,2.186727E-01,1.214639E-01,2.525198E-01,1.807239E-01,3.727306E-01,1.735015E-01,3.525402E-01,1.603197E-01,3.094036E-01,1.372288E-01,2.657101E-01,1.206019E-01,2.385631E-01,1.064631E-01,2.095861E-01,8.718707E-02,1.700229E-01,7.227188E-02,1.415440E-01,5.515300E-02,1.057301E-01,3.716741E-02,7.420930E-02
-9.51787,39.30000,8.173554E-02,1.631821E-01,1.057278E-01,2.124843E-01,1.191412E-01,2.465295E-01,1.769077E-01,3.602883E-01,1.700363E-01,3.381791E-01,1.533310E-01,2.987552E-01,1.314142E-01,2.613331E-01,1.153952E-01,2.287085E-01,1.018793E-01,2.009247E-01,8.368480E-02,1.632867E-01,7.035306E-02,1.381451E-01,5.266269E-02,1.026724E-01,3.568697E-02,7.111293E-02
-9.51787,39.40000,7.942308E-02,1.580689E-01,1.019795E-01,2.085858E-01,1.166905E-01,2.435078E-01,1.739902E-01,3.518708E-01,1.662072E-01,3.269094E-01,1.467637E-01,2.918097E-01,1.264617E-01,2.538027E-01,1.109409E-01,2.205454E-01,9.766207E-02,1.935484E-01,8.002737E-02,1.576073E-01,6.750704E-02,1.340905E-01,5.044976E-02,9.913511E-02,3.388632E-02,6.917313E-02
-9.51787,39.50000,7.531527E-02,1.539889E-01,9.723910E-02,2.007939E-01,1.131418E-01,2.407138E-01,1.687980E-01,3.420309E-01,1.584500E-01,3.136787E-01,1.390146E-01,2.781949E-01,1.192525E-01,2.417185E-01,1.054824E-01,2.125708E-01,9.337921E-02,1.843725E-01,7.604936E-02,1.494619E-01,6.371211E-02,1.269834E-01,4.811938E-02,9.572093E-02,3.262550E-02,6.713396E-02
-9.51787,39.60000,7.150659E-02,1.487959E-01,9.206832E-02,1.933405E-01,1.090919E-01,2.324436E-01,1.614563E-01,3.271117E-01,1.493418E-01,2.977911E-01,1.307600E-01,2.649278E-01,1.133599E-01,2.312139E-01,1.002255E-01,2.029606E-01,8.732994E-02,1.774133E-01,7.203757E-02,1.427061E-01,6.102835E-02,1.202545E-01,4.537974E-02,9.207121E-02,3.114912E-02,6.536201E-02
-9.41787,38.20000,9.707061E-02,2.089393E-01,1.275874E-01,2.646948E-01,1.453654E-01,2.961373E-01,2.108027E-01,4.477783E-01,2.074734E-01,4.170186E-01,1.870681E-01,3.724810E-01,1.636316E-01,3.260659E-01,1.451849E-01,2.832664E-01,1.290037E-01,2.522425E-01,1.069671E-01,2.070996E-01,8.879724E-02,1.684381E-01,6.861570E-02,1.299586E-01,4.988918E-02,9.566557E-02
-9.41787,38.30000,9.379911E-02,1.995345E-01,1.252687E-01,2.680942E-01,1.403418E-01,2.815585E-01,2.174570E-01,4.361582E-01,2.031379E-01,4.071087E-01,1.828620E-01,3.677729E-01,1.605248E-01,3.178501E-01,1.428464E-01,2.781714E-01,1.248210E-01,2.460885E-01,1.046823E-01,2.037015E-01,8.668470E-02,1.649729E-01,6.753337E-02,1.279733E-01,4.886974E-02,9.292921E-02
-9.41787,38.40000,9.161974E-02,1.953964E-01,1.241519E-01,2.677207E-01,1.423736E-01,2.754921E-01,2.035701E-01,4.115566E-01,2.021550E-01,4.073206E-01,1.807807E-01,3.599364E-01,1.578213E-01,3.149666E-01,1.382238E-01,2.730500E-01,1.217933E-01,2.397736E-01,1.026472E-01,1.999694E-01,8.647850E-02,1.632882E-01,6.641963E-02,1.261450E-01,4.767296E-02,9.065675E-02
-9.41787,38.50000,9.046613E-02,1.932610E-01,1.243028E-01,2.649417E-01,1.397955E-01,2.703055E-01,2.022352E-01,4.133328E-01,1.995356E-01,4.018508E-01,1.764310E-01,3.574699E-01,1.554777E-01,3.064497E-01,1.363248E-01,2.684118E-01,1.204849E-01,2.368060E-01,1.012655E-01,1.967366E-01,8.473399E-02,1.619536E-01,6.569739E-02,1.239883E-01,4.631023E-02,8.843894E-02
-9.41787,38.60000,8.983654E-02,1.921783E-01,1.239246E-01,2.655877E-01,1.364515E-01,2.738818E-01,2.041108E-01,4.197952E-01,1.954617E-01,3.995599E-01,1.743470E-01,3.516505E-01,1.537288E-01,3.044954E-01,1.359954E-01,2.684762E-01,1.209665E-01,2.382369E-01,1.002083E-01,1.962267E-01,8.446609E-02,1.613816E-01,6.531600E-02,1.214360E-01,4.557741E-02,8.642887E-02
-9.41787,38.70000,8.975083E-02,1.900918E-01,1.235561E-01,2.744958E-01,1.347280E-01,2.788552E-01,2.024458E-01,4.222136E-01,1.939157E-01,4.001823E-01,1.728509E-01,3.519343E-01,1.536961E-01,3.044083E-01,1.352306E-01,2.692005E-01,1.209897E-01,2.405949E-01,9.862363E-02,1.970507E-01,8.328111E-02,1.607984E-01,6.358884E-02,1.191988E-01,4.472331E-02,8.450505E-02
