#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:08:17', checksum=2606410892, kind='mean', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0)
-9.31787,38.30000,1.410423E-01,2.241058E-01,2.800060E-01,2.946098E-01,2.753670E-01,2.535862E-01,2.285655E-01,2.069972E-01,1.906637E-01,1.557823E-01,1.359263E-01,1.068487E-01,8.687996E-02,2.757258E-01,4.518731E-01,5.575649E-01,5.710303E-01,5.315399E-01,4.874492E-01,4.351302E-01,3.973514E-01,3.648909E-01,2.978710E-01,2.634410E-01,2.114018E-01,1.807378E-01
-9.31787,38.40000,1.419190E-01,2.262082E-01,2.813150E-01,2.957482E-01,2.766685E-01,2.543929E-01,2.292532E-01,2.071811E-01,1.904230E-01,1.552237E-01,1.349699E-01,1.059057E-01,8.526132E-02,2.767780E-01,4.543149E-01,5.571184E-01,5.706323E-01,5.318344E-01,4.874023E-01,4.355266E-01,3.972966E-01,3.645198E-01,2.963050E-01,2.609786E-01,2.096151E-01,1.773708E-01
-9.31787,38.50000,1.419479E-01,2.266832E-01,2.808403E-01,2.953838E-01,2.766360E-01,2.541172E-01,2.288717E-01,2.065355E-01,1.894928E-01,1.542076E-01,1.336714E-01,1.047570E-01,8.369575E-02,2.772207E-01,4.551632E-01,5.552921E-01,5.695952E-01,5.316724E-01,4.869671E-01,4.354174E-01,3.968416E-01,3.637892E-01,2.944894E-01,2.584943E-01,2.077832E-01,1.744090E-01
-9.31787,38.60000,1.417082E-01,2.264319E-01,2.799108E-01,2.945979E-01,2.761482E-01,2.536297E-01,2.284431E-01,2.060906E-01,1.889491E-01,1.536473E-01,1.329461E-01,1.040525E-01,8.283359E-02,2.777929E-01,4.556181E-01,5.538154E-01,5.691522E-01,5.320240E-01,4.874798E-01,4.363330E-01,3.977105E-01,3.645718E-01,2.941625E-01,2.578290E-01,2.072108E-01,1.733590E-01
-9.31787,38.70000,1.397347E-01,2.235560E-01,2.754060E-01,2.907961E-01,2.733436E-01,2.506348E-01,2.248759E-01,2.021902E-01,1.847191E-01,1.500000E-01,1.289382E-01,1.009013E-01,7.899906E-02,2.761482E-01,4.529303E-01,5.475129E-01,5.653663E-01,5.303004E-01,4.850770E-01,4.334808E-01,3.936180E-01,3.597094E-01,2.890477E-01,2.517772E-01,2.028877E-01,1.664242E-01
-9.31787,38.80000,1.391449E-01,2.224189E-01,2.739246E-01,2.893450E-01,2.720753E-01,2.494594E-01,2.237550E-01,2.012054E-01,1.837573E-01,1.491846E-01,1.280715E-01,1.001298E-01,7.820395E-02,2.769150E-01,4.536514E-01,5.476810E-01,5.661336E-01,5.313449E-01,4.861718E-01,4.346029E-01,3.946203E-01,3.605947E-01,2.893377E-01,2.518192E-01,2.027606E-01,1.660791E-01
-9.31787,38.90000,1.364264E-01,2.181231E-01,2.681694E-01,2.838701E-01,2.674292E-01,2.448044E-01,2.185980E-01,1.959850E-01,1.784141E-01,1.447073E-01,1.234240E-01,9.650684E-02,7.404664E-02,2.745859E-01,4.500171E-01,5.418747E-01,5.615193E-01,5.280005E-01,4.816573E-01,4.295375E-01,3.884328E-01,3.536964E-01,2.823890E-01,2.447312E-01,1.970814E-01,1.578231E-01
-9.31787,39.00000,1.320606E-01,2.107293E-01,2.593181E-01,2.748721E-01,2.593888E-01,2.376951E-01,2.116811E-01,1.898061E-01,1.726680E-01,1.401550E-01,1.190881E-01,9.303779E-02,7.104584E-02,2.685508E-01,4.393955E-01,5.293565E-01,5.488780E-01,5.166374E-01,4.699917E-01,4.192036E-01,3.788266E-01,3.444236E-01,2.740298E-01,2.373121E-01,1.905010E-01,1.516047E-01
-9.31787,39.10000,1.234399E-01,1.957536E-01,2.418932E-01,2.576947E-01,2.443088E-01,2.240340E-01,1.997343E-01,1.795357E-01,1.634665E-01,1.326484E-01,1.126698E-01,8.781976E-02,6.702618E-02,2.528174E-01,4.113038E-01,4.955828E-01,5.169413E-01,4.870765E-01,4.434556E-01,3.970140E-01,3.594484E-01,3.267057E-01,2.590799E-01,2.248061E-01,1.797746E-01,1.426418E-01
-9.31787,39.20000,1.173719E-01,1.853169E-01,2.296528E-01,2.454403E-01,2.331892E-01,2.134332E-01,1.908992E-01,1.719925E-01,1.567987E-01,1.270041E-01,1.080723E-01,8.406381E-02,6.437429E-02,2.426773E-01,3.933456E-01,4.730473E-01,4.960274E-01,4.660440E-01,4.255374E-01,3.817230E-01,3.460100E-01,3.145884E-01,2.491456E-01,2.164984E-01,1.725018E-01,1.371513E-01
-9.31787,39.30000,1.123613E-01,1.774546E-01,2.191996E-01,2.356599E-01,2.233119E-01,2.042783E-01,1.826228E-01,1.643047E-01,1.495052E-01,1.205287E-01,1.024843E-01,7.941174E-02,6.040768E-02,2.347395E-01,3.804971E-01,4.576586E-01,4.799260E-01,4.511786E-01,4.111118E-01,3.679208E-01,3.315862E-01,3.011481E-01,2.376645E-01,2.058564E-01,1.633146E-01,1.278962E-01
-9.31787,39.40000,1.072546E-01,1.697031E-01,2.091917E-01,2.254595E-01,2.135191E-01,1.954485E-01,1.747767E-01,1.570848E-01,1.428727E-01,1.147684E-01,9.759881E-02,7.537001E-02,5.720336E-02,2.257567E-01,3.673456E-01,4.417124E-01,4.625442E-01,4.347515E-01,3.956186E-01,3.535299E-01,3.164754E-01,2.876733E-01,2.265200E-01,1.954357E-01,1.546643E-01,1.201048E-01
-9.31787,39.50000,9.927312E-02,1.568103E-01,1.932810E-01,2.092973E-01,1.989408E-01,1.830688E-01,1.644593E-01,1.474724E-01,1.349459E-01,1.084258E-01,9.229244E-02,7.131535E-02,5.432967E-02,2.084480E-01,3.403731E-01,4.077360E-01,4.280665E-01,4.036027E-01,3.691043E-01,3.298833E-01,2.949786E-01,2.684841E-01,2.124530E-01,1.826116E-01,1.449443E-01,1.130621E-01
-9.31787,39.60000,9.100263E-02,1.423662E-01,1.769615E-01,1.929250E-01,1.843068E-01,1.706484E-01,1.536689E-01,1.377812E-01,1.264036E-01,1.020671E-01,8.659715E-02,6.725197E-02,5.122053E-02,1.889071E-01,3.058859E-01,3.686852E-01,3.899398E-01,3.698134E-01,3.407653E-01,3.032042E-01,2.723494E-01,2.483458E-01,1.975785E-01,1.692984E-01,1.347991E-01,1.052386E-01
